school,schoolsup,course,passed
GP,yes,mat,no
GP,no,mat,no
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,yes,mat,no
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,yes,mat,no
GP,yes,mat,no
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,no
GP,yes,mat,yes
GP,yes,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,yes,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,yes,mat,yes
GP,yes,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,yes,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,yes,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,yes,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
