reason,studytime,failures,famsup,paid,higher,goout,health,absences,passed
course,2,0,no,no,yes,4,3,6,no
course,2,0,yes,no,yes,3,3,4,no
other,2,3,no,yes,yes,2,3,10,yes
home,3,0,yes,yes,yes,2,5,2,yes
home,2,0,yes,yes,yes,2,5,4,yes
reputation,2,0,yes,yes,yes,2,5,10,yes
home,2,0,no,no,yes,4,3,0,yes
home,2,0,yes,no,yes,4,1,6,no
home,2,0,yes,yes,yes,2,1,0,yes
home,2,0,yes,yes,yes,1,5,0,yes
reputation,2,0,yes,yes,yes,3,2,0,no
reputation,3,0,yes,no,yes,2,4,4,yes
course,1,0,yes,yes,yes,3,5,2,yes
course,2,0,yes,yes,yes,3,3,2,yes
home,3,0,yes,no,yes,2,3,0,yes
home,1,0,yes,no,yes,4,2,4,yes
reputation,3,0,yes,yes,yes,3,2,6,yes
reputation,2,0,yes,no,yes,2,4,4,yes
course,1,3,yes,no,yes,5,5,16,no
home,1,0,no,yes,yes,3,5,4,yes
reputation,2,0,no,no,yes,1,1,0,yes
other,1,0,yes,yes,yes,2,5,0,yes
course,2,0,no,no,yes,1,5,2,yes
reputation,2,0,yes,no,yes,4,5,0,yes
course,3,0,yes,yes,yes,2,5,2,no
home,1,2,yes,yes,yes,2,5,14,no
home,1,0,yes,yes,yes,2,5,2,yes
other,1,0,no,yes,yes,4,1,4,yes
home,2,0,yes,no,yes,3,5,4,yes
home,2,0,yes,yes,yes,5,5,16,yes
home,2,0,yes,yes,yes,2,5,0,yes
reputation,2,0,yes,no,yes,1,5,0,yes
course,2,0,yes,no,yes,2,5,0,yes
course,2,0,no,no,yes,2,2,0,yes
home,1,0,yes,yes,yes,3,5,0,yes
other,1,0,yes,no,yes,1,5,0,no
home,3,0,yes,no,yes,3,4,2,yes
reputation,3,0,yes,no,yes,3,5,7,yes
course,3,0,yes,yes,yes,2,5,2,yes
reputation,1,0,yes,yes,yes,1,2,8,yes
home,2,1,yes,no,yes,3,3,25,yes
home,1,0,yes,no,yes,3,5,8,yes
course,2,0,yes,no,yes,3,5,2,yes
course,1,0,yes,no,yes,1,1,0,yes
course,2,1,no,no,yes,3,5,14,no
course,2,0,yes,yes,yes,2,5,8,no
home,2,0,yes,no,yes,5,3,12,yes
reputation,4,0,no,no,yes,2,2,4,yes
home,2,0,yes,yes,yes,3,5,2,yes
other,2,1,yes,no,yes,4,3,2,no
course,2,0,yes,yes,yes,3,4,2,yes
other,2,0,yes,yes,yes,3,5,2,yes
other,1,1,no,no,yes,5,5,6,yes
course,1,0,yes,yes,yes,4,5,0,yes
other,1,0,no,yes,yes,4,1,6,yes
other,2,0,no,yes,yes,4,2,8,yes
reputation,2,0,yes,yes,yes,2,1,0,yes
reputation,2,0,yes,no,yes,2,5,4,yes
home,2,0,yes,no,yes,2,5,2,no
course,2,0,yes,no,yes,3,5,2,yes
other,2,0,yes,no,yes,4,4,6,yes
course,1,0,yes,no,yes,5,5,6,yes
reputation,2,0,no,no,yes,3,1,4,no
home,3,0,yes,yes,yes,4,4,2,no
reputation,2,0,no,no,yes,4,2,0,yes
course,2,0,yes,no,yes,3,1,2,yes
reputation,4,0,yes,no,yes,3,3,4,yes
course,4,0,yes,yes,yes,3,5,4,no
reputation,2,0,yes,yes,yes,3,4,2,no
reputation,4,0,yes,no,yes,2,3,12,yes
reputation,4,0,yes,yes,yes,2,5,0,yes
course,4,0,no,no,yes,3,3,0,yes
reputation,2,2,yes,no,yes,4,5,2,no
reputation,1,0,no,no,yes,2,5,2,yes
home,2,0,yes,yes,yes,3,5,54,yes
home,2,0,yes,yes,yes,3,5,6,yes
course,4,0,no,no,yes,3,1,8,yes
reputation,4,0,no,yes,yes,3,3,0,yes
home,1,3,yes,no,no,1,3,2,yes
course,2,0,yes,no,yes,3,3,12,no
course,1,0,yes,yes,yes,2,3,2,yes
home,3,0,no,yes,yes,2,5,4,yes
reputation,2,0,yes,yes,yes,4,5,10,no
home,2,0,no,yes,yes,3,4,4,yes
home,2,0,yes,no,yes,2,4,2,yes
reputation,2,2,no,yes,yes,4,5,6,no
course,2,0,yes,no,yes,4,2,4,no
reputation,3,0,yes,no,yes,3,1,4,yes
reputation,2,1,no,yes,yes,2,3,12,yes
reputation,2,0,yes,no,yes,3,5,18,no
home,3,0,yes,yes,yes,3,4,0,no
reputation,1,0,no,yes,yes,5,1,4,yes
home,2,0,yes,no,yes,3,2,4,no
home,2,0,yes,yes,yes,3,1,0,yes
reputation,4,0,yes,no,yes,4,4,6,yes
home,4,1,yes,yes,yes,2,1,2,yes
reputation,1,0,yes,no,yes,3,4,2,yes
course,2,0,yes,yes,yes,5,5,2,yes
reputation,1,0,no,no,yes,4,1,6,yes
course,3,0,yes,yes,yes,5,3,0,no
other,1,0,yes,yes,yes,5,4,14,no
other,3,0,yes,no,yes,3,4,0,yes
course,1,0,yes,no,yes,3,5,4,yes
home,2,0,yes,yes,yes,5,2,26,no
course,2,0,yes,yes,yes,4,1,0,yes
reputation,4,0,no,no,yes,3,4,10,yes
course,4,0,yes,yes,yes,2,3,8,no
home,3,0,yes,no,yes,3,5,2,yes
home,4,0,yes,yes,yes,5,1,6,yes
other,3,0,yes,yes,yes,5,4,4,yes
course,1,0,no,no,yes,3,4,6,yes
reputation,3,1,yes,no,yes,2,2,0,yes
home,2,1,no,no,yes,2,5,6,yes
course,1,0,no,no,yes,2,3,10,yes
reputation,2,0,no,no,yes,2,5,8,no
course,2,0,yes,no,yes,4,5,2,yes
reputation,2,0,yes,no,yes,3,2,2,yes
home,1,0,no,no,yes,2,5,0,yes
course,2,1,yes,no,yes,4,5,20,no
reputation,1,0,no,no,yes,3,4,6,yes
course,2,0,no,no,yes,3,1,2,yes
home,4,0,yes,yes,yes,4,5,6,yes
course,2,0,yes,yes,yes,2,5,2,yes
course,1,0,yes,no,yes,4,5,18,yes
home,2,0,no,yes,yes,4,5,0,no
home,1,0,no,no,yes,5,5,0,yes
home,2,0,no,no,yes,2,1,0,yes
course,2,3,yes,no,no,2,5,2,no
reputation,1,2,yes,no,yes,3,4,0,no
course,1,0,no,yes,yes,5,4,8,yes
course,3,2,yes,no,yes,2,5,0,no
course,1,0,yes,no,yes,3,4,0,no
course,1,0,yes,no,yes,4,5,12,yes
course,1,0,no,no,yes,1,5,16,yes
course,2,0,yes,no,yes,3,5,0,no
course,3,0,yes,no,yes,3,5,0,no
course,2,0,no,no,yes,5,5,0,no
course,1,2,yes,no,yes,2,5,0,no
course,2,1,no,no,yes,4,5,0,yes
course,1,0,no,no,yes,2,5,0,yes
course,4,0,yes,no,yes,2,3,0,no
reputation,1,2,yes,no,yes,3,2,8,no
course,3,0,yes,yes,yes,2,5,2,yes
course,1,0,no,no,yes,4,1,2,yes
home,1,3,yes,no,yes,5,5,0,no
course,2,0,yes,yes,yes,2,5,0,yes
home,2,3,yes,no,yes,2,3,0,no
